Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,9.150000,9.280000,8.690000,8.850000,8.850000,15548400
2023-01-04,9.150000,9.310000,9.000000,9.300000,9.300000,26092700
2023-01-05,9.150000,9.370000,8.920000,9.140000,9.140000,21044000
2023-01-06,9.220000,9.445000,8.900000,9.220000,9.220000,24456900
2023-01-09,9.390000,9.520000,9.200000,9.200000,9.200000,16666200
2023-01-10,9.120000,9.438000,9.090000,9.420000,9.420000,18594100
2023-01-11,9.460000,9.750000,9.300000,9.660000,9.660000,24151800
2023-01-12,9.750000,9.910000,9.355000,9.640000,9.640000,21738600
2023-01-13,9.500000,9.815000,9.400000,9.800000,9.800000,16051000
2023-01-17,9.730000,9.800000,9.300000,9.670000,9.670000,29736200
2023-01-18,9.770000,9.850000,9.250000,9.410000,9.410000,23576500
2023-01-19,9.330000,9.750000,9.305000,9.620000,9.620000,23414600
2023-01-20,9.690000,10.000000,9.475000,9.990000,9.990000,23493400
2023-01-23,9.960000,10.370000,9.795000,10.200000,10.200000,21301000
2023-01-24,10.170000,10.470000,10.020000,10.260000,10.260000,21399100
2023-01-25,10.000000,10.070000,9.510000,9.670000,9.670000,43033300
2023-01-26,9.990000,10.340000,9.890000,10.190000,10.190000,29750600
2023-01-27,10.200000,11.010000,10.100000,10.910000,10.910000,52512100
2023-01-30,10.800000,11.160000,10.690000,11.090000,11.090000,41466400
2023-01-31,11.260000,11.570000,11.180000,11.560000,11.560000,73903200
2023-02-01,10.070000,10.470000,9.850000,10.370000,10.370000,118212400
2023-02-02,10.800000,11.680000,10.620000,11.400000,11.400000,81750200
2023-02-03,10.870000,11.610000,10.780000,11.000000,11.000000,44759900
2023-02-06,10.910000,12.170000,10.870000,12.070000,12.070000,64353000
2023-02-07,12.210000,12.440000,11.820000,12.210000,12.210000,53492300
2023-02-08,12.170000,12.290000,11.550000,11.560000,11.560000,33392500
2023-02-09,11.800000,11.830000,10.890000,10.980000,10.980000,34700500
2023-02-10,10.800000,10.939000,10.480000,10.650000,10.650000,25603800
2023-02-13,10.800000,11.150000,10.630000,10.710000,10.710000,25883300
2023-02-14,10.640000,11.100000,10.540000,10.850000,10.850000,29261700
2023-02-15,10.850000,11.280000,10.820000,11.260000,11.260000,23074900
2023-02-16,10.940000,11.390000,10.690000,10.730000,10.730000,50141500
